del_mu,del_e,k_spo,k_cat,Dpe,Dse,v_rat,phiE1low,phiE1hi,phiE2low,phiE2hi
6.320000000000004,-5.0,1.0,1.0,4.0,1.0,20.0,0.20452623367309541,0.20452632904052703,0.015039063574218747,0.015039149999999998
6.400000000000004,-5.0,1.0,1.0,4.0,1.0,20.0,0.2069370269775387,0.20693712234497036,0.014756379546499252,0.014756471219062805
6.480000000000004,-5.0,1.0,1.0,4.0,1.0,20.0,0.20918140411376923,0.20918149948120088,0.014498750878906251,0.01449885
6.560000000000004,-5.0,1.0,1.0,4.0,1.0,20.0,0.211269664764404,0.21126976013183565,0.014263749999999999,0.014263801757812498
6.640000000000004,-5.0,1.0,1.0,4.0,1.0,20.0,0.21321163177490204,0.2132117271423337,0.01404909775390625,0.01404915
6.720000000000004,-5.0,1.0,1.0,4.0,1.0,20.0,0.2150166511535641,0.21501674652099573,0.013852906542968748,0.013852978271484373
6.800000000000004,-5.0,1.0,1.0,4.0,1.0,20.0,0.21669378280639615,0.2166938781738278,0.013673490283203124,0.01367355
6.880000000000004,-5.0,1.0,1.0,4.0,1.0,20.0,0.21825132369995084,0.2182514190673825,0.013509199999999999,0.013509275976562499
6.960000000000004,-5.0,1.0,1.0,4.0,1.0,20.0,0.21969709396362272,0.21969718933105437,0.013358659960937502,0.013358729980468751
7.0400000000000045,-5.0,1.0,1.0,4.0,1.0,20.0,0.22103881835937464,0.22103891372680629,0.013220732031249998,0.0132208
7.1200000000000045,-5.0,1.0,1.0,4.0,1.0,20.0,0.22228336334228482,0.22228345870971647,0.0130942,0.0130942578125
7.200000000000005,-5.0,1.0,1.0,4.0,1.0,20.0,0.22343730926513639,0.22343740463256803,0.012978058203124998,0.0129781291015625
7.280000000000005,-5.0,1.0,1.0,4.0,1.0,20.0,0.22450714111328093,0.22450723648071258,0.01287145087890625,0.012871549999999999
7.360000000000005,-5.0,1.0,1.0,4.0,1.0,20.0,0.22549848556518523,0.22549858093261688,0.01277351513671875,0.012773582568359376
7.440000000000005,-5.0,1.0,1.0,4.0,1.0,20.0,0.2264169692993161,0.22641706466674774,0.012683523925781249,0.012683586962890625
7.520000000000005,-5.0,1.0,1.0,4.0,1.0,20.0,0.2272677421569821,0.22726783752441373,0.012600836328125,0.0126009
7.600000000000005,-5.0,1.0,1.0,4.0,1.0,20.0,0.22805547714233368,0.22805557250976533,0.0125247615234375,0.01252485
7.680000000000005,-5.0,1.0,1.0,4.0,1.0,20.0,0.22878475189208952,0.22878484725952117,0.012454828515624999,0.0124549
7.760000000000005,-5.0,1.0,1.0,4.0,1.0,20.0,0.2294596672058102,0.22945976257324185,0.012390462109374998,0.012390531054687497
7.840000000000005,-5.0,1.0,1.0,4.0,1.0,20.0,0.23008432388305633,0.23008441925048795,0.012331285498046875,0.01233135
7.920000000000005,-5.0,1.0,1.0,4.0,1.0,20.0,0.2306622505187985,0.23066234588623014,0.012276709863281249,0.012276779931640624
8.000000000000005,-5.0,1.0,1.0,4.0,1.0,20.0,0.23119697570800748,0.23119707107543913,0.01222655,0.012226630273437499
8.080000000000005,-5.0,1.0,1.0,4.0,1.0,20.0,0.23169145584106413,0.23169155120849577,0.012180321679687498,0.0121804
8.160000000000005,-5.0,1.0,1.0,4.0,1.0,20.0,0.23214874267578095,0.2321488380432126,0.012137756491756437,0.012137808959412574
8.240000000000006,-5.0,1.0,1.0,4.0,1.0,20.0,0.23257160186767545,0.23257169723510707,0.012098517308568951,0.012098569886660573
8.320000000000006,-5.0,1.0,1.0,4.0,1.0,20.0,0.232962608337402,0.23296270370483366,0.012062322265624998,0.0120624
8.400000000000006,-5.0,1.0,1.0,4.0,1.0,20.0,0.23332395553588833,0.23332405090331998,0.012029023535156249,0.012029086767578124
8.480000000000006,-5.0,1.0,1.0,4.0,1.0,20.0,0.23365802764892546,0.23365812301635708,0.011998372265624998,0.011998436132812498
8.560000000000006,-5.0,1.0,1.0,4.0,1.0,20.0,0.2339668273925778,0.23396692276000944,0.011970051269531249,0.011970149999999999
8.640000000000006,-5.0,1.0,1.0,4.0,1.0,20.0,0.23425216674804655,0.2342522621154782,0.011943994189453123,0.01194405
8.720000000000006,-5.0,1.0,1.0,4.0,1.0,20.0,0.23451585769653285,0.2345159530639645,0.01191994453125,0.01192
8.800000000000006,-5.0,1.0,1.0,4.0,1.0,20.0,0.23475952148437468,0.23475961685180632,0.01189773963932991,0.011897792785954474
8.880000000000006,-5.0,1.0,1.0,4.0,1.0,20.0,0.2349846839904782,0.23498477935790985,0.011877266992187498,0.011877349999999998
8.960000000000006,-5.0,1.0,1.0,4.0,1.0,20.0,0.2351925849914548,0.2351926803588864,0.011858461718750001,0.011858530859375
9.040000000000006,-5.0,1.0,1.0,4.0,1.0,20.0,0.23538475036621062,0.23538484573364227,0.011841080078125,0.0118411400390625
9.120000000000006,-5.0,1.0,1.0,4.0,1.0,20.0,0.2355622291564938,0.23556232452392545,0.01182501689453125,0.011825083447265624
9.200000000000006,-5.0,1.0,1.0,4.0,1.0,20.0,0.23572626113891568,0.23572635650634732,0.011810208203124999,0.0118103
9.280000000000006,-5.0,1.0,1.0,4.0,1.0,20.0,0.23587770462036103,0.23587779998779268,0.011796599999999999,0.011796683203124998
9.360000000000007,-5.0,1.0,1.0,4.0,1.0,20.0,0.2360175132751461,0.23601760864257776,0.0117839751953125,0.011784037597656248
9.440000000000007,-5.0,1.0,1.0,4.0,1.0,20.0,0.2361467361450192,0.23614683151245083,0.01177239955062866,0.011772453056907651
9.520000000000007,-5.0,1.0,1.0,4.0,1.0,20.0,0.23626604080200161,0.23626613616943326,0.011761648730468748,0.011761699365234373
9.600000000000007,-5.0,1.0,1.0,4.0,1.0,20.0,0.23637619018554656,0.2363762855529782,0.011751765234375,0.0117518326171875
9.680000000000007,-5.0,1.0,1.0,4.0,1.0,20.0,0.23647794723510707,0.2364780426025387,0.01174261474609375,0.011742682373046875
9.760000000000007,-5.0,1.0,1.0,4.0,1.0,20.0,0.23657197952270476,0.23657207489013637,0.011734249999999998,0.011734323925781248
9.840000000000007,-5.0,1.0,1.0,4.0,1.0,20.0,0.2366587638854977,0.23665885925292934,0.011726490722656248,0.011726549999999999
9.920000000000007,-5.0,1.0,1.0,4.0,1.0,20.0,0.23673887252807582,0.23673896789550747,0.01171926259765625,0.01171935
